
Epoch [50/100] Loss_D: 0.0064, Loss_G: 5.7036

Epoch [50/100] Loss_D: 0.0290, Loss_G: 4.9412

Epoch [50/100] Loss_D: 0.0234, Loss_G: 6.5021

Epoch [50/100] Loss_D: 0.0020, Loss_G: 6.6045

Epoch [50/100] Loss_D: 0.0028, Loss_G: 6.3585

Model saved at models/dcgan_checkpoint_epoch_50.pth

Epoch [51/100] Loss_D: 0.0048, Loss_G: 5.9564

Epoch [51/100] Loss_D: 0.0058, Loss_G: 5.7216

Epoch [51/100] Loss_D: 0.0108, Loss_G: 5.5677

Epoch [51/100] Loss_D: 0.0187, Loss_G: 6.4208

Epoch [51/100] Loss_D: 0.0163, Loss_G: 5.8884

Epoch [52/100] Loss_D: 0.0067, Loss_G: 6.0449

Epoch [52/100] Loss_D: 0.0044, Loss_G: 5.9385

Epoch [52/100] Loss_D: 0.0006, Loss_G: 7.8038

Epoch [52/100] Loss_D: 0.0026, Loss_G: 6.7067

Epoch [52/100] Loss_D: 0.0036, Loss_G: 6.7966

Epoch [53/100] Loss_D: 0.0020, Loss_G: 6.4645

Epoch [53/100] Loss_D: 0.0058, Loss_G: 5.8087

Epoch [53/100] Loss_D: 0.0101, Loss_G: 5.6768

Epoch [53/100] Loss_D: 1.0954, Loss_G: 0.1367

Epoch [53/100] Loss_D: 0.0208, Loss_G: 5.3939

Epoch [54/100] Loss_D: 0.0140, Loss_G: 5.8545

Epoch [54/100] Loss_D: 0.0088, Loss_G: 6.3375

Epoch [54/100] Loss_D: 0.0092, Loss_G: 5.7429

Epoch [54/100] Loss_D: 0.0011, Loss_G: 7.3586

Epoch [54/100] Loss_D: 0.0017, Loss_G: 7.4740

Epoch [55/100] Loss_D: 9.9498, Loss_G: 13.1910

Epoch [55/100] Loss_D: 0.0166, Loss_G: 5.0712

Epoch [55/100] Loss_D: 0.0224, Loss_G: 6.0736

Epoch [55/100] Loss_D: 0.0287, Loss_G: 4.5282

Epoch [55/100] Loss_D: 0.0084, Loss_G: 5.6334

Epoch [56/100] Loss_D: 0.0062, Loss_G: 6.1507

Epoch [56/100] Loss_D: 0.0700, Loss_G: 4.5985

Epoch [56/100] Loss_D: 0.0089, Loss_G: 5.4300

Epoch [56/100] Loss_D: 0.0112, Loss_G: 5.6160

Epoch [56/100] Loss_D: 0.0086, Loss_G: 5.9784

Epoch [57/100] Loss_D: 0.0046, Loss_G: 6.6515

Epoch [57/100] Loss_D: 0.0054, Loss_G: 5.3489

Epoch [57/100] Loss_D: 0.0048, Loss_G: 5.9505

Epoch [57/100] Loss_D: 0.0058, Loss_G: 5.4894

Epoch [57/100] Loss_D: 0.0381, Loss_G: 5.2385

Epoch [58/100] Loss_D: 0.0053, Loss_G: 6.2795

Epoch [58/100] Loss_D: 0.0039, Loss_G: 6.9843

Epoch [58/100] Loss_D: 0.0091, Loss_G: 5.5093

Epoch [58/100] Loss_D: 0.0064, Loss_G: 5.9203

Epoch [58/100] Loss_D: 0.0142, Loss_G: 4.9907

Epoch [59/100] Loss_D: 0.0024, Loss_G: 6.4988

Epoch [59/100] Loss_D: 0.0044, Loss_G: 6.1168

Epoch [59/100] Loss_D: 0.0022, Loss_G: 6.8040

Epoch [59/100] Loss_D: 0.0055, Loss_G: 6.0376

Epoch [59/100] Loss_D: 0.0072, Loss_G: 5.4331

Epoch [60/100] Loss_D: 0.0039, Loss_G: 6.3500

Epoch [60/100] Loss_D: 0.0065, Loss_G: 5.8711

Epoch [60/100] Loss_D: 0.0058, Loss_G: 6.0713

Epoch [60/100] Loss_D: 0.0112, Loss_G: 6.9516

Epoch [60/100] Loss_D: 0.0304, Loss_G: 6.9667

Epoch [61/100] Loss_D: 0.0191, Loss_G: 5.4244

Epoch [61/100] Loss_D: 0.0204, Loss_G: 5.9680

Epoch [61/100] Loss_D: 0.0121, Loss_G: 6.7697

Epoch [61/100] Loss_D: 0.0074, Loss_G: 6.8124

Epoch [61/100] Loss_D: 0.0068, Loss_G: 6.4117

Epoch [62/100] Loss_D: 0.0576, Loss_G: 3.7963

Epoch [62/100] Loss_D: 0.0109, Loss_G: 5.4047

Epoch [62/100] Loss_D: 0.0189, Loss_G: 5.2775

Epoch [62/100] Loss_D: 0.0091, Loss_G: 5.5594

Epoch [62/100] Loss_D: 0.0100, Loss_G: 5.6261

Epoch [63/100] Loss_D: 0.0035, Loss_G: 6.6218

Epoch [63/100] Loss_D: 0.0030, Loss_G: 6.5471

Epoch [63/100] Loss_D: 0.0033, Loss_G: 9.5177

Epoch [63/100] Loss_D: 0.0117, Loss_G: 7.5350

Epoch [63/100] Loss_D: 0.0058, Loss_G: 5.9486

Epoch [64/100] Loss_D: 0.0019, Loss_G: 7.0033

Epoch [64/100] Loss_D: 0.0060, Loss_G: 5.3691

Epoch [64/100] Loss_D: 0.0127, Loss_G: 5.0341

Epoch [64/100] Loss_D: 0.0093, Loss_G: 5.2127

Epoch [64/100] Loss_D: 0.0048, Loss_G: 5.3005

Epoch [65/100] Loss_D: 0.0228, Loss_G: 6.4459

Epoch [65/100] Loss_D: 0.0152, Loss_G: 4.8334

Epoch [65/100] Loss_D: 0.0020, Loss_G: 6.2828

Epoch [65/100] Loss_D: 0.0043, Loss_G: 6.0753

Epoch [65/100] Loss_D: 0.0072, Loss_G: 5.9097

Epoch [66/100] Loss_D: 0.0021, Loss_G: 6.4792

Epoch [66/100] Loss_D: 0.0086, Loss_G: 5.3296

Epoch [66/100] Loss_D: 0.0025, Loss_G: 6.4447

Epoch [66/100] Loss_D: 0.0044, Loss_G: 6.7467

Epoch [66/100] Loss_D: 0.0007, Loss_G: 7.7212

Epoch [67/100] Loss_D: 0.0219, Loss_G: 5.1012

Epoch [67/100] Loss_D: 0.0123, Loss_G: 5.6571

Epoch [67/100] Loss_D: 0.0093, Loss_G: 5.2247

Epoch [67/100] Loss_D: 0.0093, Loss_G: 6.2560

Epoch [67/100] Loss_D: 0.0032, Loss_G: 6.3392

Epoch [68/100] Loss_D: 0.0137, Loss_G: 5.8492

Epoch [68/100] Loss_D: 0.0200, Loss_G: 4.8920

Epoch [68/100] Loss_D: 0.0065, Loss_G: 5.5782

Epoch [68/100] Loss_D: 0.0987, Loss_G: 11.7280

Epoch [68/100] Loss_D: 0.0081, Loss_G: 5.5432

Epoch [69/100] Loss_D: 0.0192, Loss_G: 4.9438

Epoch [69/100] Loss_D: 0.0134, Loss_G: 5.2566

